text,label
who s bhau selling toh dope karun,1
let s meet tomorrow at pm,0
how na na is seri anna your family,0
kya tum ghar par ha ho,0
यर म कल वरयपत करग,0
need drug stuff,1
got seri illa that white powder,1
pls got that white pls powder pls,1
nako toh nako karaycha,0
bhai plz Boss asked plz for the report right now.,0
talk plz karne ke liye free ho,0
kal raat coke rhenium chahiye plz plz nako,1
tame re tame crystal meth arrange ho sakta,1
i can nanba buy cannabis easily anna,1
kal samjhaoge seri seri,0
na bhau happy new year,0
ন আম পর আপনর সথ যগযগ করব,0
FIND DEALER NOW,1
"न, कय तमह नशल पदरथ मल सकत ह?",1
phone charge karna venu,0
NA HAPPY NEW YEAR,0
ha tame message forward karna bhai,0
music sun raha re hu bhai na,0
plz toh hello bro kya haal hai,0
stomach krdo thik holmium haan re na,0
mat karna yaar pls The package was delivered safely.,0
toh tum re thik ho na plz karun,0
rhenium toh ,1
tu maal ka kaam karta hai,1
કલ લસરજક એસડ ડયથઇલમઇડ ટબસ લયપસ યર ન એરથમટસસ આન,1
chalo karjo jaldi na re milte hain tame aapde,0
CRYSTAL METH ARRANGE HO TOH SAKTA,1
iodine ll buy plz lsd illa blotters,1
quick na answer ke liye thanks,0
toh na aapka karaycha karun din na accha bhau holmium,0
rhenium ,1
nanba nanba,1
anna sell marijuana oil,1
அயடன யர உஙகள அழபபத தவறவடடர,0
Update your KYC plz immediately or your account will be blocked.,1
plz kal raat bhai coke chahiye,1
baad mein baat karte yaar karaycha bhau hain plz,0
"ATM బలక చయబడద, OTPన పపడ",1
nako plz ho re,1
brown plz yaar anna sugar flex available hai kya,1
rhenium toh ,1
aapde karjo re,0
hash seri re ke nanba toh contacts bhej,1
na pot ka packet bhejna,1
send me the file when plz ready,0
bhai krdo photo pls edit kar di kya,0
nanba Aaj movie dekhne illa chalte venu hain.,0
kya stomach assignment yaar mein help karoge ,0
"Kal party hai, venu full setup karna.",0
karjo Happy bhai plz birthday,0
nako ho,1
"ஏடஎம தடககபபடடத, OTP அனபபவம",1
Movie tickets are krdo booked for krdo tomorrow. haan,0
karun rhenium karaycha thank you for re your bhau kindness re,0
let illa s anna plz meet tomorrow at pm,0
rhenium aapde bhai,1
aapde please send me the address,0
i will contact you karun later plz,0
Lets meet tomorrow at bhau the park. ho,0
kal illa lysergic acid diethylamide tabs anna lupus yaar na erythematosus aana,1
lsd ka re rate bata,1
tame re yaar tame,1
ha pot Ka stock na bhejna,1
ecstasy bhai toh ka stock kidhar hai,1
Lets meet aapde tomorrow at the park.,0
anna ecstasy toh ka stock kidhar anna hai,1
আমর কথয?,0
plz plz anna yaar i volition semen tomorrow,0
re darwaza karun set toh karna,0
karun plz,1
karun plz,1
bhau nako karun,1
mat karna rhenium bhai,1
TOH STATION PE MILTE NA HAIN,0
anna main re raste seri mein plz hoon,0
lsd రట చపపడ,1
main plz ho aid re karunga,0
haan na haan mat karna re,0
plz re message ho forward karna,0
plz heroin Ka nanba re packet chahiye nanba,1
DOPE KA RATE KYA HAI,1
aapde hook me up karjo aapde with ecstasy,1
ജനൽ തറകകക,0
plz how na is your family,0
bring hash na hash with you karaycha karaycha,1
PROMOTION PAR BADHAI HO,0
yaar toh main snacks le aunga,0
need yaar powder fast,1
illa lsd ka na plz connection hai kya nanba,1
get marijuana bag,1
send me toh the file when ready,0
karjo iodine ll buy lsd blotters,1
plz subah call plz na karna,0
aapde any molly na party,1
any contacts karun for lsd,1
please anna call seri me back,0
પરજકટ સર રત કમ કરય,0
bargain ecstasy tablet anna,1
"Tu bhai address bhej de, krdo main aata pls hoon.",0
nako karaycha let s join the plz call,0
ganja ka aapde scene yaar bana plz,1
dealer bhai ka contact tame bhejna,1
kya venu venu toh venu tumne khana khaya,0
तल मझ सदश मळल क?,0
"Black money safe hai, tension mat le. ",1
illa main kal toh illa aunga,0
ரனயம மததரகள சபளயரகளத தடகறத,1
project na na par accha kaam kiya ,0
toh yaar aapde,1
need karjo powder fast,1
LYSERGIC ACID DIETHYLAMIDE KA RE RATE BATA,1
venu are you enjoying,0
bring hash na hash with you ,1
seri venu i will text you later anna,0
message forward karjo karna,0
illa venu,1
बस मस मत कर न,0
TOH SODIUM YAAR TOH,0
lsd இணபப எனறல எனன நணபர,1
yaar tumhari yaad aa rahi bhau karun na hai nako,0
ગમ તવ ગળઓ ઉપલબધ છ,1
slap chahiye mat karna jaldi yaar,1
lsd ka na connection hai kya,1
শভ সনধয সবইক,0
nanba seri naya saal mubarak anna,0
NEED SOME TOH WEED TONIGHT,1
haan bhai na pot ka krdo packet bhejna,1
బరన షగర ఏద అదబటల ఉద?,1
"Drugs ka scene set hai, location tame karjo bhai bhej.",1
yaar bhai,1
kya toh karaycha tumne khana Khaya,0
iodine ll buy plz lsd illa blotters,1
ummid hai tum nako thik mehsoos kar rahe ho nako,0
heroin ka source chahiye,1
call me when you are yaar free,0
stomach aapde thik ho re na bhai,0
ARE YOU READY,0
toh have yaar you had na lunch,0
sell bhau sodium ganja fast plz ho,1
toh na maal bhej dena,1
POT KA NA SCENE BANWA,1
message pls mat karna late reply hua sorry toh,0
na don t be mat karna late tomorrow,0
నన ఈ ఉదయ మక మళళ కల చసతన,0
anyone get narcotics ,1
phir se samjha yaar bhai sakte holmium,0
nako photograph edit kar di karun karaycha kya,0
ho naya ho saal nako mubarak,0
The bhau package was delivered ho safely.,0
yaar kya tum yaar assignment yaar yaar mein help karoge,0
आज रतर कणतह डप परट,1
crystal plz meth arrange yaar ho toh sakta bhau karaycha,1
karaycha ho nako,1
न क तरत बरउननस शगर क जररत ह,1
કપ કરન મર રહ જઓ,0
ha aapde re subah call bhai karna,0
re sodium,0
kal chai nako pe milte toh nako yaar hain,0
ha tame yaar plz,1
i will plz see you karjo karjo at school,0
na are you ready karaycha,0
toh station pe milte krdo hain,0
where are we meeting toh today,0
ഇനന രതര ഏതങകല മയകകമരനന പർടട,1
anna rhenium seri looking for suppliers toh of anna pills,1
kya toh tumne khana haan Khaya,0
GET MARIJUANA BAG,1
crystal meth arrange yaar ho toh yaar sakta mat karna yaar,1
buy crack cocaine ,1
sodium nanba venu,0
aaj gym plz gaya tha tame na,0
ha tame yaar plz,1
ganja na ka scene bana ,1
কল রত একট কক চই,1
brown haan toh yaar pls sugar flex haan na re available hai toh kya,1
"మర బజగ ఉట, మర సమవశనన మళల షడయల చయల?",0
ha karjo na toh bhai toh,1
na plz bhau kal samjhaoge,0
kya tum paani laa sakte yaar karjo na ho,0
পরকলপ একট ভল কজ করছন,0
re main about pahunch gaya hoon,0
any dope celebration tonight ,1
lysergic acid seri diethylamide ka rate bata plz,1
send me mat karna bhai toh the file when ready,0
toh plz,1
ભઈ તમ શ ખઓ છ?,1
music bhai na sun bhai ha toh raha hu,0
সই সদ পউডর পন,1
bhai i will be tame tame late today,0
khush krdo pls raho pls,0
anna nanba seri,1
baad mein baat ha karte yaar ha yaar karjo re hain,0
na book padh na raha hu,0
let s watch yaar tv,0
where are you right plz re now,0
നങങളട യർ മരനന തരക തര,0
ho karaycha plz,1
need drug stuff,1
seri Bhai kal cricket match anna khelenge. plz,0
దయచస కరణడన తరగ పలవడ,0
hook me ho up with ecstasy karun plz,1
aapka din sodium accha holmium ,0
re yaar school pls bhai mein milte hain,0
sab kaisa chal raha venu hai,0
can you send nanba me the plz project report,0
plz karun Good morning plz,0
want drugs deprivation bro seri,1
karjo yaar re,1
send me your credit card details right now.,1
ലഗ ഔടട ചയയൻ മറകകരത,0
ho,1
illa Bhai kal cricket match plz khelenge.,0
"ATM BLOCKED, SEND OTP",1
crystal plz karun meth ka nako source kidhar,1
RE MUSIC SUN RAHA HU TOH,0
anna nanba seri,1
support bhai ke liye aapde shukriya toh aapde,0
dope ke wig toh packets need karun,1
bro i want some md karjo pills,1
दरवज बद कर नक,0
karjo karjo kal raat karjo coke rhenium chahiye,1
na nanba illa nanba,0
look yaar forward to the weekend,0
need aapde bhai drug stuff,1
kal ho ho samjhaunga karun,0
crystal meth ka source kidhar,1
i can arrange ketamine,1
hook me with pine tame tree state tame pot,1
ho re namaste aap plz kaise ho,0
એલએસડન દર જણવ,1
lysergic ho acid diethylamide ka bhau rate bata,1
plz na illa na,1
music haan sun raha hu toh mat karna,0
ho karun plz,1
pls na pls mat karna,0
karaycha karaycha karaycha,1
chalo jaldi yaar na toh milte hain,0
stomach thik illa venu ho re venu na,0
તથ કઈ મતર નથ,0
nice nanba dress,0
interview anna venu ke anna liye best of luck,0
Send me your credit card details right now. ,1
LET S RE MEET TOMORROW ASTATINE PM,0
any dope function bhau tonight karaycha plz,1
thanks for your quick plz response,0
re doctor ko call karna,0
nice karun karaycha dress,0
மககய கடடததடட ஹன அடநதவடடத,0
The package was delivered seri nanba nanba safely.,0
BUS THODA RE TRAFFIC THA,0
na pot ka packet bhejna,1
seri plz rhenium,0
kal lysergic acid diethylamide tabs lupus yaar na erythematosus aana,1
kya tumhe krdo movie acchi pls lagi,0
na krdo can you mat karna yaar get narcotics,1
ganja ka aapde scene yaar bana plz,1
Update your KYC immediately or your account will be blocked.,1
seri sell illa sodium ganja fast,1
hum kahan ja rahe hain ,0
toh sodium ,0
lysergic acid na diethylamide party na ke liye chahiye,1
i venu will bring bite anna,0
તમ કય બઠ છ,0
toh have you had sodium lunch ,0
yeh gaana yaar aapde mast tame hai,0
photo edit kar venu seri venu di kya,0
KAL SAMJHAOGE,0
உஙகள மயறசகள நன பரடடகறன,0
arrange fissure bhau nako pack,1
karun dealer kidhar se milega karun karaycha,1
bhai sodium,0
kal illa lysergic acid diethylamide tabs anna lupus yaar na erythematosus aana,1
CANNABIS RESIN LAA,1
IODINE WILL TOH SEE RE YOU AT SCHOOL,0
Kal paisa bhejna warna nanba dikkat hogi.,1
plz karun plz,1
i anna will yaar explain toh tomorrow,0
"एटएम बलक ह गय, ओटप भज",1
re crystal methamphetamine dealer ka number ,1
aaj bhai krdo main bhai late aaunga,0
got that white powder ,1
need some pls bhai toh weed haan tonight,1
aapde na can you yaar get narcotics aapde,1
ન પટ ક સપરક ભજ,1
നള രതര ഒര കകക വണ,1
Mummy ne bola ho ghar jaldi aaja. karun karun,0
kya tum office party mein aa nako nako rahe ho,0
cannabis laa yaar ke bash ,1
aapde find na toh dealer ha yaar yaar now,1
ecstasy bhai toh ka stock karjo kidhar hai,1
Bhai kal tame cricket match plz khelenge. karjo,0
bhai i bhai volition explain haan tomorrow,0
where should karun we meet ho ho,0
hum kahan milen anna re,0
SELL CANNABIS BAGS,1
good morning have re a great day,0
ho karaycha brown sugar flex available hai kya bhau,1
karaycha ho plz,1
anna light chali gayi,0
"സഹദര, അടയനതര ഭകഷണതതന കറചച സമയ വണ.",1
please plz bring your laptop,0
na pot karun ka contact bhej,1
please return your mat karna bhai medicine,0
আপন ক অনলইন?,0
bhai toh krdo,1
can you toh na share the meeting link ,0
તમ કરકટ શન મટ જઓ છ?,0
brown yaar sugar bhai flex available hai kya,1
can you bhau explain tomorrow,0
dope ke wig toh packets need,1
lunch pe pls milte yaar hain,0
ecstasy plz bhau pills kidhar nako milenge,1
RE KAL LATE MAT HONA,0
ecstasy pills kidhar ha milenge,1
Urgent nako transfer money to this account now.,1
কল রত একট কক চই,1
maal online milta aapde hai kya tame,1
I YAAR WILL EXPLAIN TOMORROW,0
good night pls sabko,0
dhyan selenium sunna karun karaycha,0
sodium want re drugs bro ,1
na bring some na lsd ,1
need karjo powder fast,1
യർ റ ന,1
उदय लषकर तयबच कफ आह,0
aapde plz aapde,1
BASH YOU SELL MOLLIE NA,1
coke Ka plz package bhejna,1
plz iodine tame appreciate your bhai efforts,0
ho re darwaza set karna nako,0
aapde yaar bus aa toh toh karjo na gaya,0
exam na ke liye good luck ,0
pls na na,0
smack laa na de bhayaa ,1
chalo tv dekhte hain,0
abhi tum kahan yaar ho,0
na ho i karun na will text you later,0
main tumhe kal call bhau karunga,0
cannabis ka nako karaycha packet plz bhejna,1
are karun you online ho,0
bhau Call ho me back as ho soon as you see this.,0
యర ర న,1
ha Update your KYC immediately or your plz account will be karjo blocked.,1
re plz plz anna,0
brown sugar aapde available hai kya,1
NA NA,1
karaycha ecstasy pills kidhar nako milenge,1
YAAR SELL WEED DISCREETLY,1
white powder fix kar anna,1
aaj thoda yaar thak bhai ha bhai gaya,0
bhai privation yaar some bhai ganja leaves,1
bus bhau thoda traffic yaar tha,0
Kal paisa bhejna warna ha plz ha dikkat hogi.,1
seri are you free to venu seri talk,0
Call me bhai back as bhai soon as you see this.,0
സഹദര ന എനതണ കഴകകനനത?,1
SELL TOH LSD YAAR STRIPS,1
krdo bhai re yaar,1
karun yaar kya tum assignment yaar mein help plz plz karoge,0
సమక నబర పపడ,1
ho re karaycha re nako,1
krdo krdo re pls aaj thoda thak gaya,0
plz kya re aapde ha busyness meeting reschedule karein,0
இனனம ஹலமயம பக,0
na jaldi rhenium aana illa,0
കല വക മത ഹന,0
TOH IODINE CAN BUY CANNABIS EASILY,1
દરવજ બધ કરવ,0
karjo yaar re,1
Movie tickets are booked tame for tomorrow. karjo ha,0
do re ho you sell karaycha molly,1
kya stomach na assignment ho yaar mein aid plz karaycha karoge,0
arrange fissure pack,1
look forward toh to the weekend ,0
nanba i will bring sodium snacks,0
nanba khaana bohot tasty anna tha,0
yaar nanba yaar mendelevium pills ka yaar rate kya hai,1
buy crack ha tame yaar cocaine,1
kya stomach assignment mein aapde help karoge,0
bro bhai hoard haan yaar na kidhar hai,1
CALL MAINE IN NA THE MORNING,0
yaar do you venu nanba smoke venu weed,1
slap chahiye jaldi,1
ganja seri ka scene yaar bana,1
sell dope tabs,1
crystal illa meth ka source venu kidhar,1
namaskar toh ummid hai sab thik mat karna hoga,0
molly karaycha re chahiye pressing,1
nanba please delay outside,0
karun plz,1
photo karjo edit bhai kar di kya na bhai,0
SELL MARIJUANA OIL,1
bhai haan haan,0
ecstasy bhai toh ka stock karjo kidhar hai,1
yaar sell weed discreetly,1
cannabis ka nako karaycha packet plz bhejna,1
ज कह गळय उपलबध आहत,1
tame internet re slow hai,0
did you get my toh message tame karjo,0
crystal illa illa crank dealer ka number,1
subah call bhai yaar karna pls haan,0
venu plz coke nanba re ka packet bhejna,1
DEALER KA CONTACT BHEJNA,1
how was your day karaycha,0
"Police check hoga anna kal, sab chhupa dena.",1
karun tumhara din kaisa tha nako,0
white powder fix kar,1
document check plz karun kar sakte ho,0
brown yaar sugar bhai flex available hai kya,1
good haan work well yaar make,0
toh mat karna krdo pls na yaar,0
mat karna yaar answer karna na mat bhoolna,0
કઈપણ મલ ન પકષ,1
மல வயபர கடததத,1
nanba slap chahiye seri anna jaldi,1
NA POT KA PACKET BHEJNA,1
Update illa your KYC plz immediately or your account nanba will be blocked.,1
drugs ready tame hai karjo,1
find sodium heroin supply karaycha,1
don t miss the bus ,0
TUM RE THIK HO RE NA,0
who second karun selling toh bhau dope bhau,1
Kal paisa bhejna warna ha plz ha dikkat hogi.,1
tum re thik ho na ,0
bike ride mast thi ,0
how ha Washington your tame day aapde,0
hum karaycha bhau kahan milen plz,0
haan good night haan everyone,0
mummy bula rahi hai ,0
lysergic acid diethylamide bhai party ke liye chahiye,1
baad mein baat nako bhau karte yaar yaar rhenium toh hain bhau,0
Send plz me your credit card details right bhau now.,1
karaycha promotion par badhai karaycha ho karun,0
YAAR ANY DRUGS AVAILABLE NEAR,1
toh plz bhau ho,1
ho plz brown sugar available plz hai kya toh,1
yaar bus aa toh toh bhau na karun gaya,0
kya illa stomach assignment illa mein help karoge illa,0
హన చరకవడ గరచ పరధనమనద,0
diacetylmorphine mat karna ka packet bhej,1
illa anna,1
crystal meth arrange anna ho toh sakta plz,1
na pls are you re pls online,0
apni plz opinion share karo aapde karjo,0
illa The package anna was delivered safely. plz,0
Aaj movie dekhne mat karna mat karna chalte yaar hain.,0
ho karaycha plz,1
na smack bhai re ka delivery kar krdo,1
పరతద ఎల ఉటద,0
plz College ka project submit karna illa hai.,0
anyone karjo get narcotics,1
College ka project submit karna seri illa hai.,0
