text,label
got acid rhenium yaar blotters,1
Call me back as soon as you see this.,0
do you got pills 😎,1
main yaar photograph bhej dunga,0
where s the hashish bro,1
The package was delivered safely.,0
toh thanks for your help yesterday 😢,0
buy re dope powder,1
reply karna yaar mat rhenium bhoolna,0
kya re busyness meeting re reschedule karein,0
md pill ka stock hai 🔥,1
dealer call me,1
sell dope toh tabs,1
please wait for me,0
yaar re 📝📖📚📒,0
🍄💭 toh 💯 😂,1
i yaar ll yaar call you soon,0
who s got the stash,1
please take your na medicine,0
hello bro 😃 toh na kya haal hai,0
na toh 😵‍💫💊 😢,1
"Kal ka maal ready hai, cash only.",1
yaar yaar 🌿🚬💊,1
Mummy ne bola ghar jaldi aaja.,0
na jaldi aana,0
namaskar toh ummid hai sab thik hoga,0
jaldi aana 😍,0
want drugs bro 🤔,1
stomach ready na ho 😂,0
baad mein baat karte yaar yaar rhenium hain 😂,0
tumhara na call girl ho gaya 💯,0
kal lsd tabs toh lupus erythematosus aana 🤔,1
any crystal meth left 😂,1
main tumhe bata dunga,0
sodium 🥴🚬 😂,1
ganja chahiye kal party ke toh liye 🔥,1
toh yaar acid strips laa dena 💯,1
toh re 🏍️🛴🚄🚅,0
yaar tumhari yaad aa rahi hai ❤️ 💯 🤔,0
ecstasy ka jugad hai 😍,1
🦙🦒🐘🦏,0
🚬🍷💊,1
Send me your OTP immediately.,1
acid re tabs ka jugad hai 😂,1
yaar 💊💊🍷,1
looking for supply 💯 🔥 toh 😎 😎,1
dope ka maal kidhar,1
"Your account has been suspended, click here to restore access.",1
how na is your family 😍,0
"Kal party hai, full setup karna.",0
smack yaar laa fast,1
Boss asked for the report right now.,0
na please remind me later,0
yaar buying yaar crystal meth tonight 😍,1
"Black money safe hai, tension mat le.",1
nice dress 👗👌 😍 😂,0
music sun raha hu 🎶🎧 na 💯 😢,0
🌿💉 🔥,1
coke ka packet bhejna 🤔 💯,1
🦁🐮🐷🐽 😎,0
i will let you know,0
shopping karne chalo re 🛍️,0
supply lsd quietly 😢 😂,1
thank you for re your kindness 😎 😎,0
naya saal mubarak 😍,0
The package was delivered safely.,0
yaar 🚬🍹 😎 😍,1
namaste aap na kaise ho 🔥,0
hum kahan ja rahe hain 😢 🤔,0
💉💉💊 😍 🔥,1
yaar 🚜🛺🚲🛵 😂 😂,0
arrange crack pack 😎 😍 🔥,1
🚬💨,1
dope toh dealer na kidhar hai 🔥,1
re ⚽🏀🏈⚾,0
order ✨ 🤤 🤞 drugs from dark 😜 web,1
kal samjhaunga,0
Bhai urgent maal chahiye kal tak de.,1
get me a gram of coke,1
yaar homework mat bhoolna,0
let s go toh shopping 🔥,0
can you explain this again,0
lsd ka source chahiye 💯,1
sell toh lsd toh strips 🤔,1
re thank you for re your kindness 😎 😎,0
thank you for re your kindness 😎 😎 😎,0
need some weed tonight,1
can you score some heroin,1
📦🤐 maal chhupa dena,1
😢 dope ke wig 🫠 toh 😌 na packets yaar need,1
looking for smack packet,1
re 💊💊,1
⛅🌧️🌦️🌩️ 😎 na 😍,0
want ketamine shots,1
💊💉🚬🍷 🔥,1
ecstasy bhej abhi 😍 🔥,1
good occupation na on the project,0
thoda pot toh chahiye abhi,1
💉💊💊 💯 🤔 🔥,1
🐤🐣🦆 🔥,0
smack laa de bhai 😎,1
can we meet for lunch,0
kya coke milega tujhe 🔥,1
arrange fissure toh pack 😢,1
don re thymine forget the keys,0
file save karna mat bhoolna 😂,0
looking for supply 💯 😂,1
marijuana ka packet toh bhej de 🔥,1
accha laga tumse milke 😢,0
joint ke liye maal bhej,1
i yaar m almost there,0
smack flexin laa de bro 😁,1
hash laa fast 😎,1
Send 💰 now or else 🔫,1
don t miss the bus,0
namaste aap kaise ho 🔥,0
namaste aap kaise ho,0
main rhenium tumhe email kar dunga 🔥,0
re smack Ka jugad urgently,1
mendelevium pills ka stock hai,1
do you sell molly 😢,1
yaar ganja bhej re fast,1
where s the ganja re bro,1
photo mast aayi hai 📸🔥,0
na find dealer yaar na yaar now 🔥 💯,1
kya tum busy holmium,0
main min mein aa raha hoon,0
got marijuana bag 😂,1
payment toh details bhejna 🤔,0
🎨🖌️🖍️ 🔥,0
tu cocaine arrange kar 😎 😎,1
don t be late for dinner 😢,0
how is everything 🤔 😂 😢,0
🍄😈,1
got na molly dealer,1
tum kahan baithe ho,0
give me yaar meth yaar yaar powder 😂,1
Update your KYC immediately or your account will be blocked.,1
💉😴,1
where s the re hashish bro,1
buying drugs bulk,1
smack yaar ka source chahiye 🔥,1
subah na call karna 😍 😂 🔥,0
🍾🥃🧊,0
🐺🐗🐴 🔥,0
main later message karunga 😂,0
yaar 🌿🔥💊,1
"ATM ⚠️ blocked, send OTP 🔑",1
"Tu address bhej de, main aata hoon.",0
anyone get pot na 😍,1
😢 pot ke wig 🫠 toh 😌 packets need,1
yaar 🦃🐓🦚 🔥,0
💊🙃,1
kya busyness meeting reschedule karein 😢,0
lunch pe milte yaar hain 🤔,0
namaskar ummid hai sab re thik yaar hoga 🔥,0
tum ready ho 😂,0
🚬😶‍🌫️ 🤔,1
ganja Ka source kidhar hai,1
tum kahan re baithe holmium,0
Update your KYC immediately or your account will be blocked.,1
slap ka number bhej,1
na want re drugs bro 🤔 😂,1
do you smoke weed,1
thoda dope chahiye re abhi,1
re please mujhe yaad dilana 💯,0
main tumhari mehnat ki tarif karta hoon 😢,0
ganja chahiye kal party ke re toh liye 🔥,1
anyone toh got pot 😢 🤔,1
how be everything 😍,0
na are you re online,0
na sell coke quietly,1
got that white powder 🤔,1
🚬💊🌌 🤔,1
happy birthday wishing you tons of joy,0
Movie tickets are booked for tomorrow.,0
lysergic acid diethylamide Ka connection yaar hai yaar kya,1
yaar yaar 🍄😈,1
toh arrange na crack toh pack,1
Let's meet tomorrow at the park.,0
any crystal meth left 💯,1
main help re karunga,0
re yaar 🚎🏎️🚓🚑,0
kal lsd check toh lupus na erythematosus aana 😍,1
na kal samjhaoge,0
i yaar missed your call,0
hope you yaar re are feeling better,0
Send me your OTP immediately.,1
sell na ganja fast,1
pot ka na yaar scene banwa,1
kya toh tumne khana khaya 😢,0
Lashkar-e-Taiba s go toh shopping 🔥,0
sell marijuana oil 🤔 😎,1
na 🍫🍬🍭🍮,0
dope ke packets chahiye 😍,1
brown toh sugar available hai kya 😍,1
kal samjhaoge re 🤔,0
Urgent: transfer money to this account now.,1
toh udasi na mat lena 😎,0
⛺🏟️🎡🎢 💯,0
abhi tum kahan holmium 🤔 😢,0
tumhara blare kaisa tha,0
phir se samjha yaar sakte holmium,0
kya toh tumne khana Khaya 😍 🔥,0
where should we meet,0
order smack quickly,1
give me meth powder,1
🥳🎉🎊🎂,0
mera yaar wait karna please,0
music sun raha hu 🎶🎧 💯 toh 😢,0
pot ka toh scene banwa 🤔,1
bus stop kahan hai 😎 🔥,0
🎳🚴‍♂️🏊‍♀️,0
toh yaar re 🥂🚬,1
re let s take a photo 😍 💯,0
kya stomach assignment yaar mein help karoge,0
tum re na thik holmium re na 😢 😢 😂,0
yaar homework mat re bhoolna 😎,0
ganja ka source kidhar hai 😎,1
i will text you later,0
good night ache se toh sona 🔥,0
cannabis oil kidhar milega,1
yaar dealer call me toh 😍 😂,1
🎤🎧🎼🎹,0
Lashkar-e-Taiba s have coffee tomorrow,0
💉💉💊 😍,1
"Drugs ka scene set hai, location bhej.",1
thoda toh dope toh chahiye abhi,1
molly chahiye pressing,1
yatra ke liye shubhkamnayein 😎,0
nice dress 👗👌 😍 🔥,0
